日期,开盘,收盘,涨跌额,涨跌幅,最低,最高,成交量(手),成交金额(万),换手率,成交量(百万手),成交金额(十亿),ma7,ma21,26ema,12ema,MACD,20sd,upper_band,lower_band,ema,logmomentum
2/20/1992,11.65,11.7,0.05,0.42%,11.6,11.7,2570,300.0,0.87%,0.00257,0.003,,,11.7,11.7,0.0,,,,11.7,2.3702437414678603
2/21/1992,11.6,11.7,0.0,0.00%,11.6,11.75,1700,198.93,0.58%,0.0017,0.0019893000000000003,,,11.7,11.7,0.0,,,,11.7,2.3702437414678603
2/24/1992,11.75,11.45,-0.25,-2.13%,11.4,11.75,1690,194.13,0.57%,0.00169,0.0019413,,,11.610177427304091,11.602424942263278,-0.007752485040812829,,,,11.526923076923074,2.34660197841082
2/25/1992,11.4,11.2,-0.25,-2.18%,11.15,11.4,2155,242.23,0.73%,0.002155,0.0024223,,,11.495509743210999,11.475395114942529,-0.02011462826846966,,,,11.306249999999999,2.322387720290225
2/26/1992,11.2,11.15,-0.05,-0.44%,11.0,11.2,2505,276.66,0.85%,0.002505,0.0027666,,,11.415384608671255,11.386986425167189,-0.02839818350406631,,,,11.201652892561984,2.3174737054877963
2/27/1992,11.0,11.5,0.35,3.13%,11.0,11.5,1710,191.58,0.58%,0.00171,0.0019158,,,11.432332396686252,11.414454669473638,-0.017877727212614047,,,,11.400824175824177,2.3513752571634776
2/28/1992,11.35,11.65,0.15,1.30%,11.3,11.9,1795,209.04,0.61%,0.001795,0.0020904,11.478571428571428,,11.471043451576657,11.46701578587037,-0.004027665706287209,,,,11.567017383348583,2.365559892155434
3/2/1992,11.65,11.75,0.1,0.85%,11.5,11.8,6560,767.7,2.22%,0.00656,0.007677000000000001,11.485714285714284,,11.515990263603888,11.526070229693493,0.010079966089605819,,,,11.689024390243905,2.3749057545736716
3/3/1992,11.8,11.45,-0.3,-2.55%,11.4,11.85,1725,199.95,0.58%,0.001725,0.0019995,11.45,,11.50620905785769,11.511020830694406,0.004811772836715633,,,,11.529666700538565,2.34660197841082
3/4/1992,11.5,11.4,-0.05,-0.43%,11.25,11.55,2155,246.06,0.73%,0.002155,0.0024606,11.442857142857145,,11.491553241572941,11.48998242642544,-0.0015708151475006815,,,,11.443220769543423,2.341805806147327
